"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO"
"ANDRYEL MORAIS MENDES";"RORAIMA";"DEPUTADO ESTADUAL";"14999";"PARTIDO TRABALHISTA BRASILEIRO"
"ANE CLEIDE DA CONCEICAO";"RORAIMA";"DEPUTADO ESTADUAL";"44244";"PARTIDO REPUBLICANO PROGRESSISTA"
"ANGELICA OLIVEIRA PACHECO";"SERGIPE";"DEPUTADO ESTADUAL";"25251";"DEMOCRATAS"
"ANGELINA ANGELICA DE PAULA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"40330";"PARTIDO SOCIALISTA BRASILEIRO"
"ANGELINO MOURA CORREIA";"PARA";"1º SUPLENTE";"361";"PARTIDO TRABALHISTA CRISTAO"
"ANGELITA DE FATIMA DE LIMA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"51068";"PATRIOTA"
"ANGELO AMARO DA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"5070";"PARTIDO SOCIALISMO E LIBERDADE"
"ANGELO HENRIQUE DA SILVA CASTRO";"SANTA CATARINA";"GOVERNADOR";"29";"PARTIDO DA CAUSA OPERARIA"
"ANGELO MARCOS VIEIRA DA COSTA";"SAO PAULO";"DEPUTADO ESTADUAL";"54055";"PARTIDO PATRIA LIVRE"
"ANICELSO FRANCISCHETTO";"SANTA CATARINA";"DEPUTADO FEDERAL";"4099";"PARTIDO SOCIALISTA BRASILEIRO"
"ANIVALDO JUVENIL VALE";"PARA";"SENADOR";"222";"PARTIDO DA REPUBLICA"
"ANNA CAROLINA DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"17025";"PARTIDO SOCIAL LIBERAL"
"ANTONIA BRAGA SALES";"CEARA";"DEPUTADO FEDERAL";"1540";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ANTONIA ROZIDIR VITOR";"CEARA";"DEPUTADO ESTADUAL";"23223";"PARTIDO POPULAR SOCIALISTA"
"ANTONIO ALVES OLIVEIRA";"TOCANTINS";"DEPUTADO ESTADUAL";"44567";"PARTIDO REPUBLICANO PROGRESSISTA"
"ANTONIO AUGUSTO MAGALHAES BARBOSA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"51051";"PATRIOTA"
"ANTONIO BARBOSA DOS SANTOS JUNIOR";"RIO GRANDE DO NORTE";"DEPUTADO FEDERAL";"5045";"PARTIDO SOCIALISMO E LIBERDADE"
"ANTONIO BATISTA DO CARMO";"SERGIPE";"DEPUTADO ESTADUAL";"25111";"DEMOCRATAS"
"ANTONIO CARLOS  FERNANDES DE LIMA JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"3600";"PARTIDO TRABALHISTA CRISTAO"
"ANTONIO CARLOS COSTA";"SERGIPE";"DEPUTADO ESTADUAL";"25333";"DEMOCRATAS"
"ANTONIO CARLOS DOS SANTOS";"BAHIA";"1º SUPLENTE";"170";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ANTONIO CARLOS GARCIA";"SAO PAULO";"DEPUTADO ESTADUAL";"36669";"PARTIDO TRABALHISTA CRISTAO"
"ANTONIO CESAR TAVARES ALVAIA";"SERGIPE";"DEPUTADO FEDERAL";"1700";"PARTIDO SOCIAL LIBERAL"
"ANTONIO CLAUDIO SANTOS DAS NEVES";"SERGIPE";"1º SUPLENTE";"540";"PARTIDO PATRIA LIVRE"
"ANTONIO DA CRUZ FILGUEIRA JUNIOR";"MARANHAO";"DEPUTADO FEDERAL";"5122";"PATRIOTA"
"ANTONIO DA SILVA RODRIGUES";"MARANHAO";"DEPUTADO ESTADUAL";"45666";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"ANTONIO DONISETI PISSINATTI";"SAO PAULO";"DEPUTADO ESTADUAL";"17192";"PARTIDO SOCIAL LIBERAL"
"ANTONIO FRANCISCO FELICIO  DA COSTA";"AMAZONAS";"DEPUTADO FEDERAL";"3533";"PARTIDO DA MULHER BRASILEIRA"
"ANTONIO GERALDO PACHECO BARBOSA";"PARANA";"DEPUTADO ESTADUAL";"15056";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ANTONIO GERALDO RODRIGUES DA SILVA FILHO";"PERNAMBUCO";"DEPUTADO FEDERAL";"7788";"SOLIDARIEDADE"
"ANTONIO NEPOMUCENO CALAZANS SANTOS";"BAHIA";"DEPUTADO FEDERAL";"2812";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ANTONIO NONATO SANTOS VIANA";"MARANHAO";"2º SUPLENTE";"161";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO"
"ANTONIO NOSMAN BARREIRO PAULO";"PARAIBA";"DEPUTADO FEDERAL";"1113";"PARTIDO PROGRESSISTA"
"ANTONIO PEREIRA DE SOUSA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"22125";"PARTIDO DA REPUBLICA"
"ANTONIO RENATO CAMARGO MARTINS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"36469";"PARTIDO TRABALHISTA CRISTAO"
"ANTONIO RODRIGUES SANTIAGO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"20195";"PARTIDO SOCIAL CRISTAO"
"ANTONIO SOARES DO CARMO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5429";"PARTIDO PATRIA LIVRE"
"APARECIDA CANDIDA DE MOURA";"SAO PAULO";"DEPUTADO ESTADUAL";"36001";"PARTIDO TRABALHISTA CRISTAO"
