"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"TIAGO LACERDA DE BRITO";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"10125";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"TIAGO LIMA DE ALCANTARA";"MINAS GERAIS";"DEPUTADO FEDERAL";"3113";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"TIAGO LIMA FRADE PALMEIRA";"PARA";"DEPUTADO ESTADUAL";"27555";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"TIAGO LIMA MITRAUD DE CASTRO LEITE";"MINAS GERAIS";"DEPUTADO FEDERAL";"3031";"PARTIDO NOVO";"1";"ELEITO POR QP"
"TIAGO LINS DE LIMA";"RONDONIA";"DEPUTADO ESTADUAL";"18123";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"TIAGO MACHADO";"PARANA";"DEPUTADO FEDERAL";"4380";"PARTIDO VERDE";"1";"SUPLENTE"
"TIAGO MANOEL DIAS FERREIRA";"BAHIA";"DEPUTADO ESTADUAL";"65777";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"TIAGO MENDES VASCONCELOS";"PIAUI";"DEPUTADO ESTADUAL";"31321";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"TIAGO PRATES DA SILVA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2015";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"TIAGO ROBERTO SERENATO";"PARANA";"DEPUTADO ESTADUAL";"19100";"PODEMOS";"1";"SUPLENTE"
"TIAGO RODA DE OLIVEIRA";"MATO GROSSO DO SUL";"DEPUTADO FEDERAL";"6543";"PARTIDO COMUNISTA DO BRASIL";"1";"NAO ELEITO"
"TIAGO RODRIGUES DE SOUZA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"44678";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"TIAGO ROSA DE OLIVEIRA";"GOIAS";"DEPUTADO ESTADUAL";"28128";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"TIAGO SANTOS DE JESUS";"SERGIPE";"DEPUTADO ESTADUAL";"17700";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"TIAGO SOARES FERNANDES";"PARA";"DEPUTADO FEDERAL";"1823";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"TIAGO SOLANO DIAS FERNANDES";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"17456";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"TIAGO TEIXEIRA DE SOUZA";"PARA";"DEPUTADO ESTADUAL";"50007";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"TIAGO VASCONCELOS AIRES";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"6550";"PARTIDO COMUNISTA DO BRASIL";"1";"NAO ELEITO"
"TIBERIO CESAR DOS SANTOS MOREIRA";"PIAUI";"VICE-GOVERNADOR";"16";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"1";"NAO ELEITO"
"TIBERIO DA SILVA ROCHA JUNIOR";"ALAGOAS";"DEPUTADO FEDERAL";"3001";"PARTIDO NOVO";"1";"NAO ELEITO"
"TIBIRICA VIANNA MAINERI";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"10222";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"TIFANNY PEREIRA DE ABREU";"SAO PAULO";"DEPUTADO FEDERAL";"1570";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"TIJOI BARRETO EVANGELISTA";"SERGIPE";"DEPUTADO ESTADUAL";"22123";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"TIOMAR HELAINE MARTINS GUIMARAES";"PARAIBA";"DEPUTADO ESTADUAL";"13330";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"TITO BRUNO MIRANDA TORRES DUARTE";"MINAS GERAIS";"DEPUTADO ESTADUAL";"45240";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"TITO TEIXEIRA BARBOSA NETO";"BAHIA";"DEPUTADO ESTADUAL";"15007";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"TITO TELES DE CAMPOS";"PARANA";"DEPUTADO FEDERAL";"1718";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"TITO ZEGLIN";"PARANA";"1º SUPLENTE";"123";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"NAO ELEITO"
"TOBIAS SORGATO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"27444";"DEMOCRACIA CRISTA";"1";"NAO ELEITO"
"TOM PASSOS DE ARAUJO";"BAHIA";"DEPUTADO ESTADUAL";"25161";"DEMOCRATAS";"1";"ELEITO POR QP"
"TOMAS EDSON ALVES DA SILVA ";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"7008";"AVANTE";"1";"SUPLENTE"
"TOMAS GUILHERME CORREIA";"RONDONIA";"1º SUPLENTE";"151";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"TOMAZ HOLANDA DE LIMA";"CEARA";"DEPUTADO FEDERAL";"2323";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"TOMAZ KIYOMU KURASHIMA JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"4359";"PARTIDO VERDE";"1";"SUPLENTE"
"TOMAZ QUINTAS RADEL";"BAHIA";"DEPUTADO ESTADUAL";"17177";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"TONIA CARLA DE SOUZA";"PARANA";"DEPUTADO ESTADUAL";"13010";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"TONISLEI SANTA CRUZ DO NASCIMENTO";"BAHIA";"DEPUTADO FEDERAL";"1890";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"TONY CLOVES PEREIRA";"ALAGOAS";"DEPUTADO ESTADUAL";"50555";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"TONY DE SIQUEIRA SECHI";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"4070";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"TOVAR ALVES CORREIA LIMA";"PARAIBA";"DEPUTADO ESTADUAL";"45100";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR MEDIA"
"TUANE KELLY GIRAO";"CEARA";"DEPUTADO FEDERAL";"1288";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"TULIO AURELIO CAMPOS FONTES";"MATO GROSSO";"DEPUTADO ESTADUAL";"43043";"PARTIDO VERDE";"1";"SUPLENTE"
"TULIO CESAR DIAS LOPES";"MINAS GERAIS";"SENADOR";"210";"PARTIDO COMUNISTA BRASILEIRO";"1";"NAO ELEITO"
"TULIO GADELHA SALES DE MELO";"PERNAMBUCO";"DEPUTADO FEDERAL";"1212";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"ELEITO POR MEDIA"
"TULIO ISAC CARNEIRO";"GOIAS";"DEPUTADO ESTADUAL";"11000";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"TULIO JORGE RIBEIRO DE MAGALHAES CHEGURY";"TOCANTINS";"2º SUPLENTE";"170";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"TULIO MARCOS CASADO DA SILVA";"MATO GROSSO";"DEPUTADO ESTADUAL";"25111";"DEMOCRATAS";"1";"SUPLENTE"
"TULIO OSTILIO PEIXOTO CAVALCANTE";"ALAGOAS";"DEPUTADO FEDERAL";"1789";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"UALLAS BRAHIAM DA FONSECA";"SERGIPE";"DEPUTADO FEDERAL";"5013";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"UANDER MARCOS DE PAULA E SILVA";"GOIAS";"DEPUTADO ESTADUAL";"13613";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"UARTA DANTAS DA SILVA AMORIM";"RIO GRANDE DO NORTE";"DEPUTADO FEDERAL";"5177";"PATRIOTA";"1";"NAO ELEITO"
"UBALDINO SARAIVA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"43333";"PARTIDO VERDE";"1";"SUPLENTE"
"UBALDO FERNANDES DA SILVA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"36222";"PARTIDO TRABALHISTA CRISTAO";"1";"ELEITO POR MEDIA"
"UBIRACI CORREIA DE LIMA";"ALAGOAS";"DEPUTADO ESTADUAL";"70666";"AVANTE";"1";"SUPLENTE"
"UBIRACI DOS SANTOS SILVA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"10003";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"UBIRACI TOLOSA COSTA";"AMAPA";"DEPUTADO ESTADUAL";"23100";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"UBIRACY OLIMPIO DA SILVA";"PERNAMBUCO";"1º SUPLENTE";"290";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"UBIRACY VIEIRA DOS SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"23091";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"UBIRAJARA BORGES MARTINS";"MATO GROSSO DO SUL";"DEPUTADO FEDERAL";"3131";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"NAO ELEITO"
"UBIRAJARA DA SILVA RAMOS COROA";"BAHIA";"DEPUTADO ESTADUAL";"13613";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"UBIRAJARA DE MELLO BOSOROY";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1432";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"UBIRAJARA DO PINDARE ALMEIDA SOUSA";"MARANHAO";"DEPUTADO FEDERAL";"4000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO POR QP"
"UBIRAJARA FERREIRA DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"77200";"SOLIDARIEDADE";"1";"SUPLENTE"
"UBIRAJARA NOBRE CARLOS";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"22000";"PARTIDO DA REPUBLICA";"1";"NAO ELEITO"
"UBIRAJARA RIBEIRO";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"1202";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"NAO ELEITO"
"UBIRAJARA SANTOS DE OLIVEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"44193";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"UBIRAJARA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"35123";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"UBIRAJARA TAVARES GOMES DOS SANTOS";"BAHIA";"DEPUTADO FEDERAL";"2541";"DEMOCRATAS";"1";"SUPLENTE"
"UBIRAJARA TEIXEIRA DE MELO E SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70741";"AVANTE";"1";"SUPLENTE"
"UBIRANILDO DA SILVA MACEDO";"AMAPA";"DEPUTADO ESTADUAL";"11190";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"UBIRATAN ALVES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"25777";"DEMOCRATAS";"1";"SUPLENTE"
"UBIRATAN AMORIM CALMON";"BAHIA";"DEPUTADO ESTADUAL";"65233";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"UBIRATAN ANTUNES SANDERSON";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"1720";"PARTIDO SOCIAL LIBERAL";"1";"ELEITO POR QP"
"UBIRATAN BENVINDO DE FIGUEIREDO";"PIAUI";"DEPUTADO FEDERAL";"4411";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"UBIRATAN DE OLIVEIRA DIAS";"GOIAS";"DEPUTADO ESTADUAL";"50250";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"UBIRATAN LUCAS ROCHA MATOS";"BAHIA";"DEPUTADO ESTADUAL";"54000";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"UCLESIO BARRETO LIMA";"SERGIPE";"DEPUTADO ESTADUAL";"43999";"PARTIDO VERDE";"1";"NAO ELEITO"
"UDARIO PIRES";"SAO PAULO";"DEPUTADO FEDERAL";"5143";"PATRIOTA";"1";"NAO ELEITO"
"UDSON SOARES DE SOUSA ";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"22229";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"UEBER DEIVIDI DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"12360";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"UEINER NEVES DE FREITAS";"MATO GROSSO";"DEPUTADO ESTADUAL";"77123";"SOLIDARIEDADE";"1";"NAO ELEITO"
"UELINTON GARCIA DE FREITAS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"12321";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"UENIO FREIRE DE MENEZES";"BAHIA";"DEPUTADO ESTADUAL";"36689";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"UESLEI CARLOS DE BRITO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"44044";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"UESLLEI PEREIRA DE ALMEIDA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"36600";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"UGLENIO ALVES DAMACENA";"GOIAS";"DEPUTADO ESTADUAL";"70678";"AVANTE";"1";"SUPLENTE"
"UGUI GAMA DE AVELAR";"PARA";"DEPUTADO ESTADUAL";"31190";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"UIDSON RICARDO SANTOS DOS SANTOS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"90017";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"NAO ELEITO"
"UILIAM GONCALVES E SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70209";"AVANTE";"1";"SUPLENTE"
"UILIAN NOGUEIRA LIMA";"RONDONIA";"DEPUTADO ESTADUAL";"12456";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"UILSON MAGALHAES SILVA";"BAHIA";"DEPUTADO FEDERAL";"5089";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ULDURICO ALENCAR PINTO";"BAHIA";"DEPUTADO FEDERAL";"5400";"PARTIDO PATRIA LIVRE";"1";"ELEITO POR QP"
"ULISSES ACACIO DE ALCANTARA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"90007";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ULISSES ALVES GOMES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"18222";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"ULISSES CASTRO TAVARES NETO";"SAO PAULO";"DEPUTADO FEDERAL";"3092";"PARTIDO NOVO";"1";"SUPLENTE"
"ULISSES COSTA DE ALMEIDA";"BAHIA";"DEPUTADO ESTADUAL";"65029";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ULISSES DE SOUSA";"GOIAS";"DEPUTADO ESTADUAL";"51193";"PATRIOTA";"1";"SUPLENTE"
"ULISSES FALCI JUNIOR";"PARANA";"DEPUTADO FEDERAL";"5530";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ULISSES GABRIEL";"SANTA CATARINA";"DEPUTADO ESTADUAL";"55789";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ULISSES HIGINO DA SILVA FILHO";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"43001";"PARTIDO VERDE";"1";"SUPLENTE"
"ULISSES MENDES COELHO";"SAO PAULO";"2º SUPLENTE";"290";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"ULISSES NOGUEIRA DE AGUIAR";"PIAUI";"DEPUTADO FEDERAL";"4343";"PARTIDO VERDE";"1";"NAO ELEITO"
"ULISSES PINCELLI";"ESPIRITO SANTO";"SENADOR";"300";"PARTIDO NOVO";"1";"NAO ELEITO"
"ULISSES RICARDO MEREDE CANDREVA";"PARANA";"DEPUTADO ESTADUAL";"28328";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ULISSES ROBERTO CORNAZZANI SALES";"SAO PAULO";"DEPUTADO ESTADUAL";"31313";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ULISSES SELLANE";"GOIAS";"DEPUTADO ESTADUAL";"90777";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ULISSES SUAID PORTO GUIMARAES BORGES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14777";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ULYSSES DA CONCEICAO VIANA";"SAO PAULO";"DEPUTADO FEDERAL";"3101";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ULYSSES FREITAS PEREIRA DE ARAUJO";"ACRE";"GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"ULYSSES GOMES DE OLIVEIRA NETO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"13077";"PARTIDO DOS TRABALHADORES";"1";"ELEITO POR QP"
"ULYSSES JOSE GUEDES GOMES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"11212";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ULYSSES LACERDA MORAES";"MATO GROSSO";"DEPUTADO ESTADUAL";"27123";"DEMOCRACIA CRISTA";"1";"ELEITO POR QP"
"ULYSSES MARIO TASSINARI";"SAO PAULO";"DEPUTADO ESTADUAL";"43333";"PARTIDO VERDE";"1";"SUPLENTE"
"UMILTON JOSE BENFICA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"90850";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"URANDI PEREIRA DE MATOS";"CEARA";"DEPUTADO ESTADUAL";"17123";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"URBANO CORREIA";"MARANHAO";"DEPUTADO ESTADUAL";"31321";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"URBANO LOPES NEIVA EULALIO";"PIAUI";"2º SUPLENTE";"170";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"URBANO SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"20760";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"URIAS GONCALVES DA SILVA FILHO";"SAO PAULO";"DEPUTADO ESTADUAL";"70020";"AVANTE";"1";"SUPLENTE"
"URSULA VIDAL SANTIAGO DE MENDONCA";"PARA";"SENADOR";"500";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"URUBATAN NICODEMOS SIMOES DE BARROS";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"15300";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"UZIAN PINTO MACHADO";"AMAPA";"DEPUTADO ESTADUAL";"25500";"DEMOCRATAS";"1";"SUPLENTE"
"UZIAS DOS SANTOS DE MATOS";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"25252";"DEMOCRATAS";"1";"NAO ELEITO"
"UZIAS SILVA FILHO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"27230";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"UZIEL FERREIRA DO NASCIMENTO";"SAO PAULO";"DEPUTADO ESTADUAL";"44045";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"UZIR SANTOS DE LIMA";"ACRE";"DEPUTADO ESTADUAL";"40120";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"VAGNER APARECIDO CRUSCO";"SAO PAULO";"DEPUTADO FEDERAL";"2999";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"VAGNER APARECIDO MALHEIROS";"SAO PAULO";"DEPUTADO ESTADUAL";"12512";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"VAGNER ARANTES DA COSTA";"SAO PAULO";"DEPUTADO ESTADUAL";"19270";"PODEMOS";"1";"SUPLENTE"
"VAGNER CHEREM GUEDES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"23123";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"VAGNER CLEBER CHIAPETTI";"SAO PAULO";"DEPUTADO FEDERAL";"1009";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"VAGNER COSTA FERNANDES";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4590";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"VAGNER DE MORAES ALAMINO";"PARANA";"DEPUTADO FEDERAL";"5456";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"VAGNER DE SOUZA FERREIRA";"PARANA";"DEPUTADO FEDERAL";"2882";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"VAGNER DOMINGUES GARCIA ";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"45009";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"VAGNER EVARISTO DE MOURA";"SAO PAULO";"DEPUTADO ESTADUAL";"19023";"PODEMOS";"1";"SUPLENTE"
"VAGNER GARCEZ SOARES";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"2365";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"VAGNER LUIZ PIMPAO BERSA";"SAO PAULO";"DEPUTADO ESTADUAL";"31721";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"NAO ELEITO"
"VAGNER OLIVEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"10321";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"VAGNER SIGILIAO LIQUE ";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3171";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"VAGNER TONETTO";"ESPIRITO SANTO";"2º SUPLENTE";"355";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"VAGNER VIEIRA NILO";"GOIAS";"DEPUTADO ESTADUAL";"51051";"PATRIOTA";"1";"NAO ELEITO"
"VAILSON GRECCO";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"1711";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"VAILSON TAVARES LESSA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2022";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"VALBER CESAR FREIRES TINOCO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"10221";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"VALCELIO ABREU RODRIGUES";"CEARA";"DEPUTADO FEDERAL";"9033";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"VALCEMIR FAGUNDES LOPES";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"54125";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"VALCI PAULO HAAS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"77654";"SOLIDARIEDADE";"1";"SUPLENTE"
"VALCIR JUSTINO";"MATO GROSSO";"DEPUTADO ESTADUAL";"45299";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"VALCIR NOGUEIRA DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"11411";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"VALCIR OEIRAS CARDEL";"PARA";"2º SUPLENTE";"407";"PARTIDO SOCIALISTA BRASILEIRO";"1";"NAO ELEITO"
"VALCLEI QUEIROZ DA SILVA";"RONDONIA";"GOVERNADOR";"35";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"VALDAIR DE JESUS COSTA";"GOIAS";"DEPUTADO ESTADUAL";"27127";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"VALDAIR GOMES DE ALMEIDA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"22111";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"VALDAIR TELES SANTANA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"20190";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"VALDEANE GOMES ROCHA";"RORAIMA";"DEPUTADO ESTADUAL";"35345";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"VALDECI BARBOSA BARROS ";"CEARA";"DEPUTADO ESTADUAL";"33190";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"VALDECI COVRE";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"40789";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"VALDECI DE MORAES BALIEIRO";"AMAPA";"DEPUTADO ESTADUAL";"20280";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"VALDECI DE PAULA";"SAO PAULO";"DEPUTADO FEDERAL";"2715";"DEMOCRACIA CRISTA";"1";"NAO ELEITO"
"VALDECI JOSE MARTINS ROCHA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"17009";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"VALDECI MOTTA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"19777";"PODEMOS";"1";"SUPLENTE"
"VALDECI MOURA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"22010";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"VALDECI MOURA MARTINS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5404";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"VALDECI PAULO DE SOUZA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"54000";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"VALDECIR ALBIERI";"PARANA";"DEPUTADO ESTADUAL";"43700";"PARTIDO VERDE";"1";"SUPLENTE"
"VALDECIR ANTONIO DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"1094";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"VALDECIR ANTONIO GIELDA";"PARANA";"DEPUTADO ESTADUAL";"23111";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"VALDECIR APARECIDO DO NASCIMENTO";"SAO PAULO";"DEPUTADO ESTADUAL";"31500";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"VALDECIR BATISTA DOS SANTOS";"PARANA";"DEPUTADO ESTADUAL";"90133";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
