"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ADAO ESMERIA LIMA OLIVEIRA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"20007";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADAO FERNANDES DA SILVA";"CEARA";"DEPUTADO ESTADUAL";"50333";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADAO FERREIRA DA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"1280";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADAO FRANCISCO DE OLIVEIRA";"TOCANTINS";"DEPUTADO FEDERAL";"1310";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADAO FRANCISCO ITACARAMBY";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"25025";"DEMOCRATAS";"1";"NAO ELEITO"
"ADAO GOMES FILHO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14005";"PARTIDO TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ADAO MATIAS TRINDADE";"PARANA";"DEPUTADO ESTADUAL";"43125";"PARTIDO VERDE";"1";"SUPLENTE"
"ADAO MOACIR GEGLER";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"17117";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADAO TIMOTEO DE LIMA";"SAO PAULO";"DEPUTADO ESTADUAL";"22018";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADAO VALDIR XAVIER GOMES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14999";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADAO VIEIRA";"PARANA";"DEPUTADO ESTADUAL";"28004";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADAUCIETE ARAUJO DE ARAUJO";"AMAPA";"DEPUTADO ESTADUAL";"18881";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ADAUTO APARECIDO DA CUNHA";"PARANA";"DEPUTADO ESTADUAL";"33033";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADAUTO VIANA JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"2889";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ADAUTON CESAR DE ALMEIDA";"MATO GROSSO";"DEPUTADO FEDERAL";"9090";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADECIR BERLE";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"5023";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ADEGILDO ARISTIDES FERREIRA";"RONDONIA";"DEPUTADO FEDERAL";"5100";"PATRIOTA";"1";"SUPLENTE"
"ADEILDE MARQUES";"SERGIPE";"DEPUTADO FEDERAL";"5453";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"ADEILDES MARIA DE JESUS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"19099";"PODEMOS";"1";"SUPLENTE"
"ADEILDO ALVES VILELA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"25125";"DEMOCRATAS";"1";"SUPLENTE"
"ADEILDO REIS DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"90790";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADEILDO RIBEIRO SOBRINHO";"MARANHAO";"DEPUTADO ESTADUAL";"17147";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADEILDO SILAS DE SOUZA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"20020";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ADEILSON COELHO DE LIMA";"PERNAMBUCO";"DEPUTADO FEDERAL";"5135";"PATRIOTA";"1";"SUPLENTE"
"ADEILTON FERREIRA DE LIMA";"PARAIBA";"DEPUTADO FEDERAL";"4400";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
